651 550 1
429 471 1
1633 1648 1
7533 506 1
866 1169 1
211 776 1
6600 1827 1
104 228 1
1317 1100 1
7145 1512 1
1365 1400 1
6492 404 1
448 161 1
1586 52 1
932 1605 1
994 1803 1
123 1540 1
121 173 1
12460 1099 1
903 1788 1
13493 1250 1
237 1504 1
483 585 1
1745 165 1
153 1783 1
156 1243 1
7805 527 1
13466 1244 1
967 25 1
139 1111 1
1069 1815 1
2486 556 1
805 162 1
122 422 1
238 1266 1
1849 1400 1
565 1477 1
483 11 1
3646 171 1
255 1161 1
16361 1699 1
2775 946 1
448 620 1
3398 152 1
461 1487 1
5400 882 1
182 1225 1
6010 354 1
14237 1358 1
1945 1849 1
2912 115 1
10787 1827 1
1133 1745 1
123 593 1
4319 301 1
3579 1248 1
13076 1192 1
425 169 1
1517 115 1
249 1867 1
261 332 1
6535 406 1
552 1589 1
448 197 1
14702 1458 1
870 486 1
2028 1710 1
1356 1540 1
10288 810 1
6510 405 1
249 1760 1
556 1227 1
1574 361 1
241 1776 1
262 5 1
1359 1799 1
1374 1809 1
13949 1333 1
7922 541 1
7019 1335 1
867 24 1
461 640 1
238 1176 1
438 767 1
1297 1001 1
3231 1138 1
3707 1104 1
425 550 1
4039 1885 1
9516 718 1
1466 1513 1
1184 169 1
2034 577 1
930 1796 1
11344 1459 1
248 1580 1
1108 74 1
867 1030 1
909 1390 1
169 708 1
328 838 1
3902 954 1
5859 1467 1
1249 1845 1
17328 1839 1
2546 1571 1
237 1325 1
3894 187 1
2383 582 1
6178 368 1
238 54 1
1336 1490 1
4841 1444 1
7345 480 1
1592 1206 1
2633 101 1
38 652 1
1766 275 1
8310 1493 1
3034 1698 1
206 636 1
276 1760 1
855 1557 1
255 441 1
106 1243 1
907 396 1
749 811 1
1409 498 1
3491 1119 1
2964 1357 1
473 1028 1
1430 894 1
11453 1219 1
2076 1042 1
33 411 1
9092 662 1
2060 73 1
247 1714 1
7014 443 1
1307 102 1
1474 1071 1
2518 92 1
15811 1625 1
1013 1601 1
11630 998 1
12625 1114 1
179 71 1
250 228 1
504 637 1
122 519 1
1096 295 1
3676 1218 1
5955 1563 1
10187 789 1
147 1317 1
2201 208 1
7004 443 1
1372 1268 1
157 867 1
244 1034 1
839 1662 1
38 859 1
1676 537 1
2696 103 1
5741 334 1
1349 1414 1
3120 370 1
14588 1433 1
13027 1596 1
327 988 1
169 1101 1
8631 612 1
1403 1642 1
1331 661 1
1355 1540 1
596 968 1
8167 564 1
225 1251 1
4659 1579 1
249 1036 1
11747 1013 1
8236 1465 1
450 1448 1
228 845 1
808 501 1
744 1604 1
2031 1436 1
15765 1883 1
657 1435 1
1668 1581 1
461 1481 1
27 0 1
1341 562 1
1600 168 1
240 1418 1
241 1486 1
704 94 1
249 756 1
0 1686 1
1368 725 1
11915 1030 1
2754 1879 1
12430 1095 1
2857 1712 1
282 1591 1
5484 517 1
1328 38 1
1866 1549 1
454 1852 1
3510 158 1
9876 1733 1
8862 633 1
1749 1323 1
7538 659 1
12141 1056 1
3341 570 1
1124 915 1
1836 179 1
523 1843 1
1158 639 1
656 275 1
10498 1191 1
156 1160 1
16 1643 1
1629 53 1
240 1469 1
2728 1130 1
4561 1800 1
662 1849 1
9031 658 1
798 119 1
3676 1507 1
14022 1362 1
106 1148 1
362 700 1
378 1682 1
5891 1885 1
1359 1647 1
249 669 1
851 1085 1
14730 1461 1
790 686 1
259 932 1
280 386 1
1257 520 1
8643 612 1
749 116 1
267 1008 1
2362 1517 1
639 1385 1
1023 1509 1
495 905 1
17151 1807 1
5667 325 1
15232 1533 1
280 882 1
5444 305 1
2317 160 1
259 378 1
781 1107 1
175 1696 1
468 943 1
16839 1758 1
6284 1664 1
122 784 1
293 1765 1
5 1087 1
183 732 1
1205 1891 1
145 1719 1
142 710 1
1359 941 1
3314 787 1
656 1688 1
274 1451 1
837 1570 1
21 1825 1
1365 1733 1
305 546 1
182 1126 1
3009 818 1
1096 325 1
1055 805 1
990 870 1
2494 1101 1
1435 1867 1
5524 1315 1
8041 552 1
1540 50 1
8 662 1
2566 1066 1
861 1880 1
630 232 1
861 1881 1
249 1409 1
398 575 1
278 1137 1
263 746 1
244 115 1
651 1476 1
169 938 1
911 1796 1
641 1499 1
814 1446 1
249 1600 1
2008 1136 1
38 1709 1
103 847 1
15184 1773 1
1372 1647 1
178 1314 1
798 748 1
38 40 1
11203 1210 1
11183 1614 1
13910 1326 1
228 310 1
3234 1716 1
379 1641 1
656 625 1
7342 523 1
241 492 1
7472 493 1
460 1872 1
2181 201 1
3649 1762 1
282 932 1
274 209 1
2116 687 1
916 325 1
256 1504 1
3283 1324 1
17196 1816 1
3951 624 1
241 387 1
748 18 1
1745 1748 1
244 757 1
37 184 1
